text,label_raw,label_resiko_hoaks
Mahasiswa ITS buat pembangkit listrik dari kolam air garam. Gimana sob? Satu lagi penemuan sumber energi alternatif. http://ow.ly/i/2X2RP,hoax,100
Lampu Dengan Sumber Energi Air Garam Ini Berpotensi Dijadikan Charger Smartphone: Sumber energi alternatif tam... http://bit.ly/1SHw8X0,hoax,100
#didUknow Lampu LED yang menggunakan air dan garam sebagai sumber listrik: Belakangan banyak energi... http://d-id.tk/PovJ8e (@keripiku),hoax,100
#tekno Lampu Dengan Sumber Energi Air Garam Ini Berpotensi Dijadikan Charger Smartphone http://goo.gl/waWW4H,hoax,100
"Green House,lampu darurat dg sumber energi garam&air.ada port USB yg dpt digunakan Hiseners utk mengisi baterai hp.",hoax,100
"[Detiknews] Di Kampus Lain Ratusan Juta, Biaya Masuk FK Unsoed Rp 0!: Jika FK Undip mematok uang pangkal Rp 125 ... http://bit.ly/LZGNrw",hoax,100
"Ini pencemaran nama baik, gk masuk akal kl masuk PT Undip ampe ngeluarin uang 87 M buat uang pangkal, 87 M itu besar banget,,!",valid,0
"Di Kampus Lain Ratusan Juta, Biaya Masuk FK Unsoed Rp 0!: Jika FK Undip mematok uang pangkal Rp 125 juta, maka d... http://bit.ly/LZGNrw",hoax,100
[Hoax] Uang Pangkal Masuk Undip Rp87 Miliar https://detax.org/issue/xe5 via,hoax,100
"Sempat Trending Uang Pangkal Masuk Undip Rp 87 M, Hoaks, yang Ada Sumbangan, Berikut Daftarnya https://wartakota.tribunnews.com/2020/08/24/sempat-trending-uang-pangkal-masuk-undip-rp-87-m-hoaks-yang-ada-sumbangan-berikut-daftarnya… lewat ",hoax,100
"Terkait adanya isu soal uang pangkal 87 miliar tersebut, pihak Undip merasa dirugikan dan akan menempuh jalur hukum.",valid,0
"Copas dr tetangga.... Assalamualaikum wr wb..utk semua ""Vaksin Penyebab AUTIS"" Buat para Pasangan MUDA. Oom dan... http://fb.me/7uc0gtgTz",hoax,100
"Buat para ortu yg sdh mantu atau mau punya cucu atau ada ponakan2: ""Vaksin Penyebab Autis"" Buat para Pasangan... http://fb.me/6NaAYEKv4",hoax,100
