sample_id,text,label_raw,label_resiko_hoaks,intensitas_emosi,kecurigaan_format,kredibilitas_rendah
1,"Ngeliat harimau yang endut gitu, jadi keinget tweet tentang kebun binatang di indonesia yang mulai gak bisa kasih makan satwa nya. Harimaunya kurus banget, krempeng sampe keliatan bentuk tulangnya",hoax,100,0.65,0.45,0.65
2,"Puasa Puasa RT 
@hunterisma
: enak tuh ayam goreng :9 RT @lizzieluvee Gawat, morning sick. Dampak makan ayam goreng pedas semalam",hoax,100,0.1,0.0,0.1
3,Viral!!! Mohon Sebarkan Garam Mengandung Pecahan Kaca: http://youtu.be/iUbcv2-nT1s?a melalui,hoax,100,0.9,0.95,0.9
4,"Pake aja kalung mengkudu, terhindar dari penyakit gondong. Btw, ini serius lo",hoax,100,0.4,0.7,0.9
5,"#Share Ternyata, Daun dan Akar Dandelion Bersifat Anti Kanker: Menurut penelitian, tanaman ini memiliki sifat ... http://bit.ly/1Hsblv4",hoax,100,0.7,0.6,0.8
6,Garam Himalaya merupakan jenis garam murni dari bumi dan terbebas dari polusi serta racun berbahaya. Garam Himalaya berwarna Merah Muda yang terjadi karena oksida besi. Kandungan dalam garam Himalaya ini adalah… https://instagram.com/p/B_G85MVJPiB/?igshid=sekuxpka8i9z,hoax,100,0.2,0.4,0.65
7,"#Videolah: Jackie Chan meninggal dunia, ternyata HOAX http://goo.gl/fb/kZkCkq",hoax,100,0.35,0.2,0.1
8,"Banyak  manfaat kayu manis ni sebenarnya :) http://po.st/Ozhxeb via 
@mstaronline",hoax,100,0.25,0.15,0.1
9,"606 Kilogram Buah Ilegal Asal Tiongkok Terindikasi Mengandung Telur Berbahaya, Dimusnahkan http://bit.ly/1TkAweg",hoax,100,0.75,0.2,0.3
10,"Info Menarik Terbaru Tentang (Pemeran Superman, Henry Cavill Dikabarkan Meninggal, Dia Beri Klarifikasi Kocak Ini) - http://infomenarik-terbaru.com/pemeran-superm",hoax,100,0.4,0.8,0.8
11,"Jika makan kacang menghasilkan jerawat, maka makanlah jerawat agar menghasilkan kacang",hoax,100,0.1,0.0,1.0
12,Buah pisang memiliki kandungan serotonin yang dapat membuat orang merasa bahagia #FaktaKes,hoax,100,0.15,0.25,0.65
13,"Buat sobat Lio yang mau kirim komoditi sarang burung walet, pake Lion Parcel bisa banget!! Udah aman, cepat dan terjamin kualitas pengirimannya! Nih Lio kasih tau yaa syarat & ketentuannya. Semoga bermanfaat! ",hoax,100,0.25,0.1,0.1
14,"Pil KB Bisa Sebabkan Kebutaan? http://bit.ly/1fh7J6m""kalau suntik kb?",hoax,100,0.8,0.7,0.9
15,Tanda kekuasaan yang sebentar lagi akan jatuh. Sebelum pulau Kalimantan dijadikan jaminan hutang RI ke Cina. Untuk itulah si pinokio dipelihara dua periode.,hoax,100,0.9,0.9,0.9
16,"Menulislah sepuasmu untuk terakhir kali, Facebook akan ditutup tanggal 24 april 2018 mulai dari jam 00:00 dan akan dibuka lagi pada tanggal yang sama jam 00:00000001 ttd. Mak suryani",hoax,100,0.4,0.85,0.9
17,"dan gak jarang air garam sering di percaya bisa menyembuhkan sakit gigi RT @ben_andz Dibaca tweeps > RT 
@fitriasiska_23
 air garam bisa dija",hoax,100,0.35,0.5,0.75
18,"Hati Ayam Bisa Berbahaya untuk Bayi dan Ibu Hamil: Benarkah hati ayam menyimpan banyak racun tubuh? Parents, s... http://bit.ly/12FqhJg",hoax,100,0.7,0.6,0.9
19,sikatan..sikatan..--->>Pasta Gigi Bisa Hilangkan Komedo - http://jagoannews.com/blog/2012/06/06/pasta-gigi-bisa-hilangkan-komedo/,hoax,100,0.2,0.5,0.8
20, TODAY'S HEADLINE: Waspada! 1 September Asteroid Florence Akan Tabrak Bumi,hoax,100,0.9,0.8,1.0
21,"AKU CINTA INDONESIA 
AKU PATUHI PROKES

Ayo vaksin biar segera kita lepas masker",hoax,100,0.4,0.25,0.15
22,Alhamdullilah Jackie Chan masuk Islam Smiling face with smiling eyes kita telah menerima saudara baru Revolving hearts,hoax,100,0.75,0.8,0.9
23,"Abu Janda Demo 
@aniesbaswedan
 itu bukan karena banjir tapi karena iri sama ini,  
@aniesbaswedan
 dinobatkan sebagai  Gubernur terbaik didunia 
Ya Maklum aja deh",hoax,100,0.8,0.8,0.9
24,such a bold action coming from bem ui Flushed face,hoax,100,0.4,0.1,0.1
25,"Pria Berbaju Kostrad Sebut Vaksin Covid-19 Mengandung Magnet, Dokter Bongkar Komposisinya",hoax,100,0.8,0.7,0.9
26,Mata Anak Ini Mendadak Juling Akibat Main Game di Ponsel 10 Jam Tiap Hari http://dlvr.it/RBbNS7,hoax,100,0.75,0.65,0.75
27,"JNCK nggilani pajak sembako sampe 12%, pajak makanan fastfood aja 10%",hoax,100,0.9,0.8,0.9
28,"W baca artikel lengkapnya, di akhir malah ngomongin ibu hamil tidak boleh makan durian. Apaan coba https://jakarta.tribunnews.com/2020/02/21/kpai-ingatkan-wanita-berenang-di-kolam-bareng-laki-laki-bisa-hamil-begini-penjelasannya",hoax,100,0.7,0.6,0.9
29,Ternyata Oreo berbahaya bagi kesehatan http://bit.ly/yUMIQg,hoax,100,0.65,0.6,0.85
30,[CEK FAKTA] Vaksin COVID-19 Berbahaya bagi Ibu Menyusui,hoax,100,0.8,0.2,0.9
31,Seumur2 gk pernah denger aki meledak kl tabung gas 3kg sih sering Kl ngarang itu coba yg cerdas dong... Biar bangsa kita bisa tambah cerdas,hoax,100,0.4,0.1,0.1
32,"*BIAYA tilang terbaru di indonesia*: *KAPOLRI BARU MANTAB* Sebagai berikut : 1. Tidak ada STNK Rp. 50, 000 2. Tdk bawa SIM Rp. 25,000 3. Tdk pakai Helm Rp. 25,000 4. Penumpang tdk Helm Rp. 10,000 5. Tdk pake sabuk Rp. 20,000 6. Melanggar lampu lalin - Mobil Rp. 20,000",hoax,100,0.45,0.85,0.95
33,WowTangan melipat Diam-Diam David Beckham Ke Wamena-Papua - Potret Anak Melanesia,hoax,100,0.7,0.9,0.9
34,"Ya, mereka kebal pasti..
Wong makan pakai saus sambal yg produksinya dari cabai dan tomat busuk aja masih pada sehat wkwkw",hoax,100,0.3,0.1,0.9
35,"Lagu Indonesia Raya sudah diganti lagu presiden, di hari peringatan",hoax,100,0.85,0.8,0.95
36,"Ini Penyebab Uang Koin Bisa Menempel di Lengan, Bukan Karena Vaksin Covid-19 Mengandung Magnet https://tribunnews.com/nasional/2021/05/28/ini-penyebab-uang-koin-bisa-menempel-di-lenganbukan-karena-vaksin-covid-19-mengandung-magnet… via @tribunnews",hoax,100,0.4,0.1,0.1
37,Pesawat merah putih mengitari Hambalang,hoax,100,0.2,0.5,0.75
38,"Fenomena sampah plastik lainnya datang dari seorang penyelam Inggris, Rich Horner, yang melakukan penyelaman dan merekam kondisi laut di dekat Nusa Penida, Bali, yang dipenuhi oleh sampah plastik.",hoax,100,0.55,0.1,0.15
39,Uang Kertas di Seluruh Dunia Mengandung Racun Berbahaya: Penyimpanan struk belanja bersamaan dengan... http://dlvr.it/hlmNY #Hazard_Bahaya,hoax,100,0.9,0.8,0.95
40,"Hakim yang Tolak Banding HRS,
potong hukuman Djoko Tjandra & Pinangki.
Semoga KEZHAKIMAN cepat TUMBANG, Aamiin YRA
#BebaskanHRS",hoax,100,0.9,0.7,0.8
41,"Masker yang bagus untuk muka kusam. Apaya kira kira? — Teh hijau bagus,innisfree yg sheet mask",hoax,100,0.0,0.0,0.1
42,"sempat ada kasus indomie asli Indo selundupan kena razia di Taiwan kan, gak lolos uji BPOMnya sana",hoax,100,0.4,0.6,0.8
