sample_id,text,label_raw,label_resiko_hoaks
1,"Ngeliat harimau yang endut gitu, jadi keinget tweet tentang kebun binatang di indonesia yang mulai gak bisa kasih makan satwa nya. Harimaunya kurus banget, krempeng sampe keliatan bentuk tulangnya",hoax,100
2,"Puasa Puasa RT 
@hunterisma
: enak tuh ayam goreng :9 RT @lizzieluvee Gawat, morning sick. Dampak makan ayam goreng pedas semalam",hoax,100
3,Viral!!! Mohon Sebarkan Garam Mengandung Pecahan Kaca: http://youtu.be/iUbcv2-nT1s?a melalui,hoax,100
4,"Pake aja kalung mengkudu, terhindar dari penyakit gondong. Btw, ini serius lo",hoax,100
5,"#Share Ternyata, Daun dan Akar Dandelion Bersifat Anti Kanker: Menurut penelitian, tanaman ini memiliki sifat ... http://bit.ly/1Hsblv4",hoax,100
6,Garam Himalaya merupakan jenis garam murni dari bumi dan terbebas dari polusi serta racun berbahaya. Garam Himalaya berwarna Merah Muda yang terjadi karena oksida besi. Kandungan dalam garam Himalaya ini adalah… https://instagram.com/p/B_G85MVJPiB/?igshid=sekuxpka8i9z,hoax,100
7,"#Videolah: Jackie Chan meninggal dunia, ternyata HOAX http://goo.gl/fb/kZkCkq",hoax,100
8,"Banyak  manfaat kayu manis ni sebenarnya :) http://po.st/Ozhxeb via 
@mstaronline",hoax,100
9,"606 Kilogram Buah Ilegal Asal Tiongkok Terindikasi Mengandung Telur Berbahaya, Dimusnahkan http://bit.ly/1TkAweg",hoax,100
10,"Info Menarik Terbaru Tentang (Pemeran Superman, Henry Cavill Dikabarkan Meninggal, Dia Beri Klarifikasi Kocak Ini) - http://infomenarik-terbaru.com/pemeran-superm",hoax,100
11,"Jika makan kacang menghasilkan jerawat, maka makanlah jerawat agar menghasilkan kacang",hoax,100
12,Buah pisang memiliki kandungan serotonin yang dapat membuat orang merasa bahagia #FaktaKes,hoax,100
13,"Buat sobat Lio yang mau kirim komoditi sarang burung walet, pake Lion Parcel bisa banget!! Udah aman, cepat dan terjamin kualitas pengirimannya! Nih Lio kasih tau yaa syarat & ketentuannya. Semoga bermanfaat! ",hoax,100
14,"Pil KB Bisa Sebabkan Kebutaan? http://bit.ly/1fh7J6m""kalau suntik kb?",hoax,100
